日期,首存用户数,10元,10元占比,20元,20元占比,30元,30元占比,50元,50元占比,100元,100元占比,200元,200元占比,300元,300元占比,400元,400元占比,500元,500元占比,1000元,1000元占比,2000元,2000元占比,2000元以上,2000元以上占比,其他金额,其他金额占比
汇总,20,0,0.000000,0,0.000000,0,0.000000,0,0.000000,11,0.550000,7,0.350000,0,0.000000,0,0.000000,2,0.100000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
2026-04-10,1,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
2026-04-12,2,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1,0.500000,1,0.500000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
2026-04-13,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,2,0.400000,2,0.400000,0,0.000000,0,0.000000,1,0.200000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
2026-04-14,3,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
2026-04-15,6,0,0.000000,0,0.000000,0,0.000000,0,0.000000,4,0.666667,1,0.166667,0,0.000000,0,0.000000,1,0.166667,0,0.000000,0,0.000000,0,0.000000,0,0.000000
2026-04-16,3,0,0.000000,0,0.000000,0,0.000000,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
