biz_date,channel_id,login_user_count,register_user_count,deposit_user_count,deposit_amount,withdrawal_user_count,withdrawal_amount,charge_withdraw_diff,first_deposit_user_count,new_customer_first_deposit_user_count,develop_user_count,first_deposit_rate,first_deposit_amount,first_deposit_avg_amount,new_customer_deposit_amount,bet_user_count,valid_bet_amount,win_loss_amount,bet_deposit_ratio,rebate_amount,discount_adjust_amount,vip_award_amount,activity_amount,task_amount,promote_activity_amount,lottery_amount,promotion_total_amount
2026-04-10,1932,0,11,1,100.0000,1,100.0000,0.0000,1,1,0,0.0909,100.0000,100.00,100.0000,8,3635.0000,4644.9600,36.3500,19.4000,0,275.0000,800.0000,0,0,0,1075.0000
2026-04-11,1932,0,0,0,0,0,0,0,0,0,0,,0,,0,1,672.0000,-424.8000,,0,0,0,0,0,0,0,0
2026-04-12,1932,0,7,2,300.0000,5,2300.0000,-2000.0000,2,2,0,0.2857,300.0000,150.00,300.0000,7,1500.0000,1854.2000,5.0000,4.0000,0,155.0000,380.0000,20.0000,12.0000,0,567.0000
2026-04-13,1932,0,19,5,1100.0000,8,3200.0000,-2100.0000,5,5,0,0.2632,1100.0000,220.00,1100.0000,7,7920.2000,9362.0000,7.2002,7.5000,0,106.0000,0,3.1400,23.0000,0,132.1400
2026-04-14,1932,0,7,3,600.0000,3,1200.0000,-600.0000,3,3,0,0.4286,600.0000,200.00,600.0000,4,770.0000,3319.0000,1.2833,0,0,0,0,100.0000,10.0000,290.0000,400.0000
2026-04-15,1932,0,18,7,1200.0000,6,2700.0000,-1500.0000,6,4,2,0.3333,1100.0000,183.33,1200.0000,4,1328.0000,1497.1000,1.1067,9.9000,0,265.0000,379.0000,0,40.0000,0,684.0000
2026-04-16,1932,0,3,4,1000.0000,3,1500.0000,-500.0000,3,2,1,1.0000,300.0000,100.00,1000.0000,1,400.0000,600.0000,0.4000,1.7800,0,45.0000,120.0000,800.0000,20.0000,60.0000,1045.0000
