用户分层,用户数,存款人数,存款金额,提现人数,提现金额,充提差,投注人数,有效投注,输赢,杀率,投充比
全部用户,38,20,4300.0000,25,11000.0000,-6700.0000,30,16225.2000,20852.4600,1.285190,3.773302
TOP3,3,0,0,1,900.0000,-900.0000,3,4613.0000,6001.0000,1.300889,
非TOP3,35,20,4300.0000,24,10100.0000,-5800.0000,27,11612.2000,14851.4600,1.278953,2.700512
VIP0,0,0,0,0,0,0,0,0,0,,
VIP1,10,7,1600.0000,9,4300.0000,-2700.0000,3,820.0000,-453.7000,-0.553293,0.512500
VIP2,1,1,300.0000,1,500.0000,-200.0000,1,60.0000,360.0000,6.000000,0.200000
VIP3,3,2,400.0000,2,700.0000,-300.0000,3,323.0000,865.0000,2.678019,0.807500
