tenant_id,tenant_plat_id,tenant_plat_name,channel_id,channel_name,channel_partner_id,channel_partner_username,rate_agent_id,rate_agent_username,report_percent,report_percent_ratio,has_percent_config,percent_config_modify_time,channel_status,channel_create_time,channel_modify_time
2660,1,现金网蓝白-吉祥坊,1867,呆萌吉祥坊,,,2719,ceshi01,100.0000,1.000000,1,2025-07-13 19:22:47,3,2023-09-04 22:50:40,2025-06-08 17:24:18
2660,1,现金网蓝白-吉祥坊,1760,本站,2711,sdeef234,,,100.0000,1.000000,0,,3,2022-07-13 22:16:26,2022-10-19 17:40:20
